Name,Ticker,ISIN,SecId,Global Broad Category Group,Average Eff Duration Survey,Fixd-Inc Eff Dur - Avg yrs (Calc) (Long) (FI%),Average Mod Duration Survey,Portfolio Risk Score,Portfolio Risk Score Date
1290 Diversified Bond A,TNUAX,US68246A7101,F00000VPDY,Fixed Income,9.58,9.51,,44.74,7/31/2022
1290 Diversified Bond I,TNUIX,US68246A6863,F00000VPDZ,Fixed Income,9.58,9.51,,44.85,7/31/2022
1290 Diversified Bond R,TNURX,US68246A6780,F00000VPE0,Fixed Income,9.58,9.51,,44.77,7/31/2022
1290 Loomis Sayles Multi-Asset Income A,TNXAX,US68259P5706,F00000WK3S,Allocation,5.27,3.90,,54.55,7/31/2022
1290 Loomis Sayles Multi-Asset Income I,TNVDX,US68259P5540,F00000WK3Q,Allocation,5.27,3.90,,54.35,7/31/2022
1290 Loomis Sayles Multi-Asset Income R,TNYRX,US68259P5474,F00000WK3R,Allocation,5.27,3.90,,54.43,7/31/2022
1290 Essex Small Cap Growth A,ESCFX,US68246Y5024,F00001DS5W,Equity,,,,,
1290 Essex Small Cap Growth I,ESCJX,US68246Y7004,F00001DS5U,Equity,,,,,
1290 Essex Small Cap Growth R,ESCKX,US68246Y8093,F00001DS5V,Equity,,,,,
1290 GAMCO Small/Mid Cap Value A,TNVAX,US68246A1088,F00000T76W,Equity,,,,145.63,7/31/2022
1290 GAMCO Small/Mid Cap Value I,TNVIX,US68246A3068,F00000T76Y,Equity,,,,145.65,7/31/2022
1290 GAMCO Small/Mid Cap Value R,TNVRX,US68246A4058,F00000T76Z,Equity,,,,145.72,7/31/2022
1290 GAMCO Small/Mid Cap Value T,TNVCX,US68246A2078,F00000T76X,Equity,,,,145.77,7/31/2022
1290 High Yield Bond A,TNHAX,US68246A5048,F00000T770,Fixed Income,4.12,4.33,,43.57,7/31/2022
1290 High Yield Bond I,TNHIX,US68246A7028,F00000T772,Fixed Income,4.12,4.33,,43.75,7/31/2022
1290 High Yield Bond R,TNHRX,US68246A8018,F00000T773,Fixed Income,4.12,4.33,,43.53,7/31/2022
1290 High Yield Bond T,TNHCX,US68246A6038,F00000T771,Fixed Income,4.12,4.33,,43.87,7/31/2022
1290 Multi-Alternative Strategies A,TNMAX,US68246A8430,F00000VPDQ,Alternative,2.49,,,48.89,7/31/2022
1290 Multi-Alternative Strategies I,TNMIX,US68246A8273,F00000VPDR,Alternative,2.49,,,49.01,7/31/2022
1290 Multi-Alternative Strategies R,TNMRX,US68246A8190,F00000VPDS,Alternative,2.49,,,49.03,7/31/2022
1290 Retirement 2020 I,TNIIX,US68259P3073,F00000WK3Z,Allocation,6.10,5.69,,46.92,7/31/2022
1290 Retirement 2025 I,TNJIX,US68259P7033,F00000WK42,Allocation,6.26,5.83,,54.89,7/31/2022
1290 Retirement 2030 I,TNKIX,US68259P8692,F00000WK47,Allocation,6.51,6.04,,62.02,7/31/2022
1290 Retirement 2035 I,TNLIX,US68259P8288,F00000WK4B,Allocation,6.58,6.12,,65.95,7/31/2022
1290 Retirement 2040 I,TNNIX,US68259P7785,F00000WK4F,Allocation,6.58,6.12,,68.93,7/31/2022
1290 Retirement 2045 I,TNOIX,US68259P7371,F00000WK4J,Allocation,6.58,6.11,,73.27,7/31/2022
1290 Retirement 2050 I,TNWIX,US68259P6878,F00000WK4N,Allocation,6.58,6.12,,78.27,7/31/2022
1290 Retirement 2055 I,TNQIX,US68259P6464,F00000WK4R,Allocation,6.58,6.12,,83.19,7/31/2022
1290 Retirement 2060 I,TNXIX,US68259P5961,F00000WK3V,Allocation,6.57,6.17,,85.58,7/31/2022
1290 SmartBeta Equity A,TNBAX,US68246A8844,F00000T777,Equity,,,,83.02,7/31/2022
1290 SmartBeta Equity I,TNBIX,US68246A8687,F00000T775,Equity,,,,82.96,7/31/2022
1290 SmartBeta Equity R,TNBRX,US68246A8505,F00000T776,Equity,,,,82.99,7/31/2022
1290 SmartBeta Equity T,TNBCX,US68246A8760,F00000T774,Equity,,,,83.05,7/31/2022
13D Activist A,DDDAX,US66537V2521,F00000H35Y,Equity,,,,141.29,7/31/2022
13D Activist C,DDDCX,US66537V2455,F00000H35X,Equity,,,,141.10,7/31/2022
13D Activist I,DDDIX,US66537V2372,F00000H35W,Equity,,,,141.22,7/31/2022
1789 Growth and Income C,PSECX,US72348H3003,F00000J8SX,Equity,,,,76.37,7/31/2022
1789 Growth and Income P,PSEPX,US72348H4092,F00000PQ2U,Equity,,,,76.39,7/31/2022
1919 Financial Services A,SBFAX,US89832P8793,FOUSA007RP,Equity,,,,140.78,7/31/2022
1919 Financial Services C,SFSLX,US89832P8611,FOUSA00ABD,Equity,,,,140.65,7/31/2022
1919 Financial Services I,LMRIX,US89832P8389,FOUSA05GYK,Equity,,,,140.83,7/31/2022
1919 Maryland Tax-Free Income A,LMMDX,US89832P7548,FOUSA00DEK,Fixed Income,,,,13.79,7/31/2022
1919 Maryland Tax-Free Income C,LMMCX,US89832P7472,FOUSA08N2L,Fixed Income,,,,13.80,7/31/2022
1919 Maryland Tax-Free Income I,LMMIX,US89832P7217,FOUSA00KJW,Fixed Income,,,,13.87,7/31/2022
1919 Socially Responsive Balanced A,SSIAX,US89832P8207,FOUSA00COA,Allocation,,,,69.28,7/31/2022
1919 Socially Responsive Balanced C,SESLX,US89832P7969,FOUSA00CTW,Allocation,,,,69.18,7/31/2022
1919 Socially Responsive Balanced I,LMRNX,US89832P7621,FOUSA05HX7,Allocation,,,,69.24,7/31/2022
361 Domestic Long/Short Equity I,ADMZX,US46141Q5356,F00000WRW6,Equity,,,,63.96,7/31/2022
361 Domestic Long/Short Equity Investor,ADMQX,US46141Q5273,F00000WRW5,Equity,,,,63.86,7/31/2022
361 Global Long/Short Equity I,AGAZX,US46141Q8731,F00000UEIB,Equity,,,,61.09,7/31/2022
361 Global Long/Short Equity Investor,AGAQX,US46141Q8814,F00000UEIA,Equity,,,,60.81,7/31/2022
361 Global Long/Short Equity Y,AGAWX,US46141Q8657,F00000UEIC,Equity,,,,61.01,7/31/2022
7Twelve Balanced 3,,US66537U2134,F00000UDFO,Allocation,4.13,4.06,,78.80,7/31/2022
7Twelve Balanced 4,,US66537U6507,F00000N1IS,Allocation,4.13,4.06,,78.79,7/31/2022
AAAMCO Ultrashort Financing I,REPOX,US0454198500,F00000XKG7,Fixed Income,,,,0.00,7/31/2022
AAAMCO Ultrashort Financing Y,REPYX,US0454198682,F00000XKG8,Fixed Income,,,,0.00,7/31/2022
AAM/Bahl & Gaynor Income Growth A,AFNAX,US4614181885,F00000OEUB,Equity,,,,86.35,7/31/2022
AAM/Bahl & Gaynor Income Growth C,AFYCX,US4614181703,F00000OEUC,Equity,,,,86.21,7/31/2022
AAM/Bahl & Gaynor Income Growth I,AFNIX,US4614181620,F00000OEUA,Equity,,,,86.18,7/31/2022
AAM/HIMCO Short Duration A,ASDAX,US46141P2487,F00000T6OZ,Fixed Income,0.69,,,15.17,7/31/2022
AAM/HIMCO Short Duration C,ASDCX,US46141P2305,F00000T6P0,Fixed Income,0.69,,,15.21,7/31/2022
AAM/HIMCO Short Duration I,ASDIX,US46141P2222,F00000T6P1,Fixed Income,0.69,,,15.48,7/31/2022
AAM/Insight Select Income A,CPUAX,US46141P8831,F00000PEIU,Fixed Income,7.80,8.40,,43.86,7/31/2022
AAM/Insight Select Income C,CPUCX,US46141P8757,F00000PEIV,Fixed Income,7.80,8.40,,43.92,7/31/2022
AAM/Insight Select Income I,CPUIX,US46141P8674,F00000PEIW,Fixed Income,7.80,8.40,,44.43,7/31/2022
AAM/Insight Select Income Y,CPUYX,US46141Q1215,F00000ZF1O,Fixed Income,7.80,8.40,,44.51,7/31/2022
AAM/Phocas Real Estate A,APRAX,US46141Q2205,F000010IS3,Equity,,,,107.92,7/31/2022
