Name,Queens Road Small Cap Value,Morningstar US Small Value NR USD,Russell 2000 Pure Value TR USD,Mkt-RF,SMB,HML,RF
2010-3,5.34,8.06,11.58,6.31,1.43,2.1,0.01
2010-4,4.63,5.17,10.51,2,4.98,2.81,0.01
2010-5,-4.87,-7.70,-10.65,-7.89,0.05,-2.38,0.01
2010-6,-5.53,-7.94,-10.63,-5.56,-1.98,-4.5,0.01
2010-7,5.95,7.64,6.72,6.93,0.17,-0.26,0.01
2010-8,-5.20,-6.91,-5.45,-4.77,-3,-1.96,0.01
2010-9,9.39,10.69,8.76,9.54,3.92,-3.12,0.01
2010-10,2.61,3.16,3.10,3.88,1.14,-2.59,0.01
2010-11,3.40,2.34,2.43,0.6,3.71,-0.9,0.01
2010-12,5.36,7.65,8.14,6.82,0.69,3.82,0.01
2010-13,-0.40,1.35,0.65,1.99,-2.46,0.83,0.01
2010-14,3.54,4.14,3.08,3.49,1.52,1.08,0.01
2010-15,1.67,0.93,0.54,0.45,2.6,-1.57,0.01
2010-16,1.02,1.93,0.49,2.9,-0.35,-2.53,0
2010-17,-1.38,-1.29,-1.80,-1.27,-0.71,-2.07,0
2010-18,-0.72,-2.48,-2.85,-1.75,-0.17,-0.33,0
2010-19,-1.90,-3.69,-4.27,-2.36,-1.3,-1.23,0
2010-20,-5.93,-8.02,-9.71,-5.99,-3.06,-2.44,0.01
2010-21,-5.04,-9.96,-10.45,-7.59,-3.49,-1.46,0
2010-22,10.00,14.96,13.22,11.35,3.41,-0.17,0
2010-23,-1.32,-0.06,-1.27,-0.28,-0.17,-0.34,0
2010-24,-0.82,1.66,2.57,0.74,-0.71,1.75,0
2010-25,3.40,5.93,6.89,5.05,2.15,-1.11,0
2010-26,1.18,2.95,0.45,4.42,-1.75,0.09,0
2010-27,1.01,2.18,3.38,3.11,-0.6,0.87,0
2010-28,-2.60,-1.10,-1.96,-0.85,-0.51,-0.46,0
2010-29,-5.18,-5.71,-5.28,-6.19,0.02,-0.62,0.01
2010-30,3.04,4.25,5.90,3.89,0.77,0.44,0
2010-31,-1.18,-1.17,-2.90,0.79,-2.59,-0.26,0
2010-32,2.71,2.80,4.14,2.55,0.42,1.32,0.01
2010-33,2.03,2.82,4.89,2.73,0.51,1.54,0.01
2010-34,-1.20,0.23,-1.97,-1.76,-1.14,3.79,0.01
