Name,SecId,Morningstar Category,Base Currency,R^2,Base Risk Score,Leverage Ratio,MPRS,Alignment Score,Misfit Risk,Residual Risk,Asset Allocation Risk,Blended Benchmark Risk,Covariance of Asset Allocation & Misfit
abrdn MyFolio Managed I Inst Acc,F00000JYZI,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,92.20%,40.45,1.04,42.16,5.23,1.88,3.35,38.81,38.81,-0.94
abrdn MyFolio Market I Inst Acc,F00000JYYY,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,92.99%,39.68,1.04,41.18,4.51,1.57,2.94,38.24,38.24,-0.79
abrdn MyFolio Multi-Manager I Inst Acc,F00000JYZ8,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,89.89%,40.45,1.05,42.59,6.62,2.46,4.17,38.42,38.42,-1.23
Barclays Multi-Asset Cau Inc A Dis GBP,F00000JNMI,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,91.20%,64.77,1.04,67.37,9.87,4.78,5.09,62.28,62.28,-2.39
Barclays Multi-Asset Defensive B Acc GBP,F00000ZO7G,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,90.51%,39.64,1.05,41.6,7.13,3.3,3.83,37.78,37.78,-1.65
CT Managed Bond Z Grs GBP Acc,F000016MVM,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,95.20%,29.56,1.03,30.59,4.65,2.63,2.02,28.57,28.57,-1.31
Dimensional World Allc 20/80 GBP Acc,F00000W8BC,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,92.89%,18.4,1.04,19.13,7.51,6.07,1.44,17.69,17.69,-3.04
HSBC Global Strategy Cautious Retl X Acc,F00000N78D,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,94.65%,25.61,1.04,26.61,2.7,0.73,1.97,24.64,24.64,-0.37
HSBC World Selection Cautious C GBP Acc,F00000OWOJ,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,93.49%,27.96,1.04,29.12,3.46,1.18,2.28,26.84,26.84,-0.59
iMGP Absolute Return GBP I M GBP,F00000UQH8,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,82.76%,20.83,1.1,22.99,7.19,3.07,4.12,18.87,18.87,-1.54
L&G Mixed Investment 0-20% C Acc,F00000W8AT,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,94.15%,32.64,1.04,33.82,3.34,1.01,2.32,31.5,31.5,-0.51
L&G Multi-Index 3 I Acc,F00000PTMA,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,96.02%,35.4,1.02,36.22,2.27,0.66,1.61,34.61,34.61,-0.33
M&G Optimal Income GBP I Acc,F0000000W0,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,78.09%,46.52,1.12,52.08,15.89,5.38,10.51,41.56,41.56,-2.69
Personal Portfolio 1 A Acc,F00000ZAUZ,EAA Fund GBP Allocation 0-20% Equity,Pound Sterling,97.59%,28.61,1.02,29.09,2.33,1.38,0.95,28.14,28.14,-0.69
