Name,SecId,Morningstar Category,Base Currency,Cat#,#Months,US Equity,DM ex-US Equity,EM Equity,US Bond,Non-US Bond, Cash,#N/A,#N/A,R^2,Beta,Idiosyncratic Risk (Standard Error of Regression),Equity,Base Risk Score,Base Alignment Score,Global Tilt,US Equity,DM ex-US Equity,EM Equity,US Bond,Non-US Bond, Cash,#N/A,#N/A,US Equity,DM ex-US Equity,EM Equity,US Bond,Non-US Bond, Cash,#N/A,#N/A,Std of Returns,Std of RBSA Benchmark,Ratio of SDs,Risk Score,Active Risk (Alignment Score),Misfit Risk,Residual Risk,Asset Allocation Risk,Blended Benchmark Risk,Cov
Allspring Diversified Income Bldr A,FOUSA00DFD,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.29932635,0.053130265,0.158107145,7.60E-08,0.489436103,6.20E-08,0,0,0.916647375,1.01825831,0.795381492,51.05637595,54.57187305,95.7936516,0,0.424789826,0.097285937,0.023642968,0.345710952,0.054927349,0.053642968,0,0,5.39256122,-0.157626419,20.15005762,0.144150051,4.232839297,-0.009420345,0,0,2.552500034,2.425412275,1.052398415,57.4313527,8.088928371,2.512341206,5.576587165,51.85476553,51.85476553,-1.256170603
Allspring Spectrum Income Allc C,FOUSA059D7,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.191456419,2.19E-11,0.048158749,0.623293276,3.34E-09,0.137091553,0,0,0.928831868,0.999105902,0.399799899,23.96151674,24.68319869,43.12319673,0,0.189346734,0.054990168,0.002495084,0.573158182,0.121257374,0.058752458,0,0,0.001374707,0.163396343,4.870367522,-0.181902718,1.18059947,0.023473049,0,0,1.291726592,1.228298672,1.051638841,25.95781045,2.89300212,0.406366116,2.486636004,23.47117445,23.47117445,-0.203183058
American Century One Choice VryCnsrv Inv,FOUSA05BYP,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.193158458,0.099836454,0.021354754,0.280262878,0.277478842,0.127908614,0,0,0.971403224,0.996843352,0.291047016,31.43496666,30.41523699,34.27011816,0,0.227014415,0.06809197,0.009045985,0.5289396,0.111431022,0.055477007,0,0,-1.448714161,2.60660184,1.44302396,9.204272788,-2.213310448,-0.039606187,0,0,1.465256885,1.436060366,1.020330983,31.03360867,1.697602248,0.473180489,1.224421759,29.80918691,29.80918691,-0.236590245
American Funds College 2024 529F1,F00000O4UM,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.106430267,0.044972859,0.015553021,0.421297327,1.18E-08,0.411746515,0,0,0.921308489,1.00289224,0.288880725,16.69561462,16.4530577,30.91058534,0,0.127968227,0.03656235,0,0.431435735,0.091405876,0.312627812,0,0,-0.676001787,0.611896518,2.002387771,0.143323086,1.803709359,0.027375474,0,0,0.893919797,0.845955395,1.0566985,17.38592139,2.078811253,0.263137847,1.815673406,15.57024799,15.57024799,-0.131568923
Atlas U.S. Tactical Income A,F0000164UM,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.063040422,0.248146108,0.078198795,0.139169511,0.145313455,0.326131708,0,0,0.818705661,1.001374802,0.894537472,38.93853246,41.05740428,106.0487958,0,0.29978099,0.090528702,0.020264351,0.447069468,0.092092138,0.050264351,0,0,11.57415852,8.562424068,6.264854121,4.618769166,-0.610461518,0.183476261,0,0,2.063669374,1.859713417,1.109670638,45.56019599,12.03141837,3.470853521,8.560564846,36.99963114,36.99963114,-1.735426761
Ave Maria Bond,FOUSA04AO0,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.136019543,0.054326845,0.043721593,0.029310211,0.138549221,0.598072587,0,0,0.862988973,1.000572434,0.465645521,23.40679809,20.59787955,69.45071178,0,0.16020573,0.045773066,0,0.540122175,0.114432664,0.139466365,0,0,-2.412645157,0.942465751,7.647466345,33.34116127,-1.022748032,-0.265079021,0,0,1.155719191,1.057762306,1.092607653,22.50540084,8.127098154,4.473734,3.653364154,18.85203668,18.85203668,-2.236867
BlackRock 20/80 Target Allocation Instl,FOUSA060A8,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.138105021,0.099487342,0.032654765,0.577595389,0.08444354,0.067713944,0,0,0.964827391,0.998083353,0.29578876,27.02471271,28.1199438,34.87209485,0,0.211931059,0.062845586,0.006422793,0.546646148,0.115365811,0.056788604,0,0,5.243533754,1.272674896,2.958616793,0.374039067,-0.075998061,0.010116012,0,0,1.382476311,1.350462795,1.023705589,28.78654364,1.831598168,0.51383471,1.317763458,27.46878018,27.46878018,-0.256917355
BlackRock Managed Income K,FOUSA05TUX,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.091973541,0.126960081,0.060144534,7.05E-09,0.486147408,0.234774429,0,0,0.865671769,0.997148791,0.575270844,27.90781555,27.08278539,72.63674782,0,0.205115447,0.060474938,0.005237469,0.554647084,0.117143796,0.057381265,0,0,-1.419242181,5.051158342,8.216386161,19.99248624,-4.717001555,-0.047523853,0,0,1.433281248,1.312767531,1.091801262,29.56901927,7.59428454,2.830865269,4.763419271,24.8056,24.8056,-1.415432634
Chartwell Income Fund,FOUSA00BF2,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.096084227,0.201537497,0.13155375,1.65E-11,0.570824498,2.80E-08,0,0,0.842125109,1.00579798,0.946062338,42.9175474,46.61224763,115.5664216,0,0.351163291,0.093306124,0.021653062,0.405408143,0.076816319,0.051653062,0,0,18.37886842,2.779006374,13.2304365,-0.635667919,4.391185261,-0.024985222,0,0,2.292565363,2.088258125,1.097836199,51.17261278,13.00341642,4.289093557,8.71432286,42.45828992,42.45828992,-2.144546778
Columbia Capital Allocation Cnsrv A,FOUSA056OQ,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.158937938,0.084387404,0.044509831,0.421264654,0.255273771,0.035626402,0,0,0.970017385,0.998253115,0.285596621,28.78351729,29.37093599,33.89253039,0,0.220151865,0.065704997,0.007852498,0.536995637,0.113221253,0.056073751,0,0,2.675640583,0.706709076,5.381716451,-0.025536069,1.093126059,-0.00502719,0,0,1.425665518,1.39676653,1.02068992,29.97861831,1.694276589,0.491229988,1.2030466,28.77557171,28.77557171,-0.245614994
Columbia Income Builder A,FOUSA05GPZ,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.157918251,0.13064484,0.117762567,1.78E-09,0.582065051,0.01160929,0,0,0.923656378,0.999198828,0.600714815,40.63256576,42.63280818,77.92672556,0,0.314353476,0.091316404,0.020658202,0.435253939,0.087759778,0.050658202,0,0,9.330003562,0.900114582,14.04110877,2.95281446,4.401927985,-0.006628869,0,0,2.015427743,1.923821899,1.047616593,44.66283725,6.677051089,2.709262456,3.967788633,40.69504862,40.69504862,-1.354631228
Columbia Solutions Conservative,F00000ZDMR,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.138812075,0.057083632,7.58E-09,0.479031613,8.54E-13,0.325072672,0,0,0.696323018,1.006436324,0.769384741,19.58957148,18.92068319,77.67408565,0,0.147160869,0.042045963,0,0.496142359,0.105114907,0.209535902,0,0,-0.174328685,0.485471466,2.58E-07,0.126697547,1.02304253,0.003373363,0,0,1.239567978,0.971892943,1.275416173,24.13174534,9.475460721,0.178624629,9.296836091,14.83490925,14.83490925,-0.089312315
DFA Global Allocation 25/75 R2,FOUSA059GN,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.166122596,0.073830867,0.040805794,0.114661367,0.132929235,0.471650141,0,0,0.971251183,0.998167015,0.243730035,28.07592569,25.70066118,51.81340423,0,0.196032916,0.057315797,0.003657898,0.565309185,0.119513152,0.058171051,0,0,-3.327570527,2.120343742,7.51937486,34.95356753,-0.668252352,-0.249109574,0,0,1.286906183,1.263615129,1.018432079,26.1743778,4.242939566,3.304079876,0.93885969,25.23551811,25.23551811,-1.652039938
E-Valuator Cnsv (15%-30%) RMS R4,F00000WYTP,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.243520599,0.090836123,0.099797182,0.180386027,0.385460069,1.37E-10,0,0,0.893966935,1.016293308,0.78600602,43.41539032,45.58564618,85.85871509,0,0.341667227,0.092792823,0.021396412,0.413107654,0.079639473,0.051396412,0,0,3.185399742,-0.005823633,8.444169111,-0.302941651,2.589859322,-0.00800517,0,0,2.191342473,2.04552594,1.071285595,48.83524608,7.496898605,1.213934022,6.282964584,42.5522815,42.5522815,-0.606967011
E-Valuator Very Cnsrv(0%-15%)RMS Service,F00000WYTM,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.139130138,0.063047211,0.096920087,0.03131515,0.6608612,0.008726213,0,0,0.821817776,0.997102945,0.773343153,29.90974365,30.99604355,88.50372613,0,0.230831143,0.069419528,0.009709764,0.524459093,0.110435354,0.055145118,0,0,2.604932718,-0.043673838,8.812457357,5.767256796,3.7786412,0.009597427,0,0,1.650531681,1.458147866,1.13193711,35.08557195,10.08797372,2.385586984,7.702386731,27.38318522,27.38318522,-1.192793492
Fidelity Advisor? Strategic Real Ret I,FOUSA05CJ7,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.188642742,0.166798485,0.091591205,3.36E-12,0.09527717,0.457690398,0,0,0.713462938,0.992015456,1.356972973,44.70324324,45.45938605,145.2583124,0,0.340499321,0.092729693,0.021364847,0.414054605,0.079986688,0.051364847,0,0,1.752810183,2.401253012,5.528148035,8.933079894,-0.216979773,0.094405275,0,0,2.450333934,2.040284475,1.200976611,54.59565939,19.18622596,2.442582693,16.74364327,37.85201613,37.85201613,-1.221291347
Fidelity Asset Manager? 20%,FOUSA00CEJ,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.158313411,0.051645176,0.054283371,0.385480398,0.170545865,0.17973178,0,0,0.966988684,0.997085661,0.270651522,26.42419574,26.05158203,35.25448221,0,0.198338968,0.058117902,0.004058951,0.562602082,0.118911574,0.057970525,0,0,-1.530606,-0.585401477,11.79308026,5.840150048,-1.02754138,-0.013336309,0,0,1.304359882,1.275971182,1.022248701,26.63119587,1.945469757,0.79885705,1.146612707,25.48458317,25.48458317,-0.399428525
Great-West Conservative Profile Inv,FOUSA00I3T,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.188262881,0.117388922,0.068003099,0.07648941,0.263163298,0.28669239,0,0,0.972988175,0.998762535,0.31210719,37.36549019,37.14129974,47.77632284,0,0.271214255,0.083465828,0.016732914,0.477052831,0.099900629,0.051633543,0,0,-1.103875276,2.755221987,9.538835422,20.60006636,-4.38203883,-0.020835236,0,0,1.728675231,1.70026679,1.016708226,37.76186496,2.884377225,1.653444935,1.230932289,36.53093267,36.53093267,-0.826722468
Guggenheim Diversified Income Instl,F00000W93S,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.171461746,0.238079806,0.001682562,6.51E-11,0.552525362,0.036250524,0,0,0.835901111,0.995979559,0.939655205,41.12241142,40.36427273,100.9739407,0,0.293369523,0.090182136,0.020091068,0.452267955,0.09399825,0.050091068,0,0,2.071295282,5.239380834,-0.246968429,5.487969203,0.976781648,0.001939902,0,0,2.058668009,1.831710148,1.123904899,45.36560387,10.9137167,1.462426191,9.451290512,35.91431336,35.91431336,-0.731213095
GuideStone Funds Conservative Allc Inv,FOUSA0591H,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.156638542,0.100590641,0.065780085,0.137836395,0.263049492,0.276104845,0,0,0.97894672,1.000073007,0.242236262,32.30092678,31.90777131,43.0776616,0,0.236822497,0.071503477,0.010751739,0.517425764,0.108872392,0.054624131,0,0,-2.138442922,2.986200894,12.67189528,20.35819541,-4.391422273,-0.030304212,0,0,1.512656698,1.493134917,1.013074359,32.32494495,2.62156895,1.792605551,0.828963399,31.49598155,31.49598155,-0.896302776
Invesco Select Risk: Conservative Inv Y,FOUSA05BX7,US Fund Allocation--15% to 30% Equity,US Dollar,1,48,0.150010834,0.115891759,0.142315219,0.062087239,0.529694948,2.21E-11,0,0,0.929023559,1.042220089,0.605371412,40.82178128,45.85901694,84.55543632,0,0.344195907,0.092929508,0.021464754,0.411057373,0.078887703,0.051464754,0,0,15.3985979,0.352910993,20.47003109,-1.551624291,6.573261179,-0.029075304,0,0,2.14412015,2.056885186,1.042411197,47.80395276,7.434446525,3.623705908,3.810740617,43.99321214,43.99321214,-1.811852954
