index,US Equities,Developed ExUS Equity,EM Equity,US Bond,ExUS Bond,Cash
1/31/2000,-0.0558618,-0.0553657,-0.0090036,-0.0082262,-0.0305398,0.0041
2/29/2000,0.0392231,0.0456052,-0.0089213,0.0120314,-0.0155958,0.0044937
3/31/2000,0.0937513,0.0224933,0.0284436,0.0130142,0.0352626,0.0050595
4/30/2000,-0.0573144,-0.0520246,-0.1176276,-0.001373,-0.0434693,0.0041941
5/31/2000,-0.0603114,-0.0340313,-0.0391781,0.0001838,0.0092393,0.0055062
6/30/2000,0.079784,0.0489062,0.0311105,0.0227242,0.0276159,0.0039678
7/31/2000,-0.0350978,-0.0332758,-0.0539949,0.0069253,-0.0263483,0.0046802
8/31/2000,0.0804212,0.0182798,0.0069495,0.0157281,-0.0152957,0.0050743
9/30/2000,-0.1051532,-0.0496031,-0.1238334,0.0104479,-0.0027033,0.0054011
10/31/2000,-0.0503411,-0.0291043,-0.0837117,0.0072949,-0.0207951,0.0052381
11/30/2000,-0.1558585,-0.0301146,-0.081833,0.0173147,0.0198823,0.0053685
12/31/2000,-0.0383342,0.0402623,-0.0047574,0.020333,0.0413336,0.005249
1/31/2001,0.0605381,-0.0047252,0.1601638,0.0150087,-0.0041886,0.0054959
2/28/2001,-0.1714888,-0.0717521,-0.0651116,0.0087964,-0.0046471,0.0036843
3/31/2001,-0.1107823,-0.0652364,-0.0633139,0.0057158,-0.0399049,0.0042898
4/30/2001,0.1156858,0.0680904,0.0244181,-0.0061119,0.0010712,0.0042887
5/31/2001,-0.0105809,-0.0258809,0.0001551,0.0048464,-0.005514,0.0033879
6/30/2001,-0.0319678,-0.036777,-0.0127698,0.0016389,-0.0130344,0.0030062
7/31/2001,-0.0240501,-0.0235938,-0.0752962,0.0248447,0.0261917,0.0029693
8/31/2001,-0.0940239,-0.0256673,-0.0111176,0.0107346,0.0462495,0.0030752
9/30/2001,-0.1092765,-0.1015682,-0.1574433,0.0179557,0.0040517,0.0033672
10/31/2001,0.0474934,0.0302862,0.0654181,0.0218554,0.0018764,0.0022382
11/30/2001,0.1121487,0.038332,0.1101008,-0.018149,-0.0098318,0.0018052
12/31/2001,-0.0122012,0.003475,0.0982749,-0.0096713,-0.0308067,0.0015139
1/31/2002,-0.023481,-0.0483489,0.0401542,0.0084713,-0.0253639,0.0014938
2/28/2002,-0.0451337,0.0054422,0.0239904,0.0131928,0.0039881,0.0013134
3/31/2002,0.0271901,0.0549897,0.0774474,-0.023487,0.0042726,0.001494
4/30/2002,-0.0935588,0.0089597,0.0198912,0.0221887,0.03963,0.0014436
5/31/2002,-0.0221096,0.0165389,-0.0174312,0.0108864,0.0354478,0.0014634
6/30/2002,-0.0975626,-0.0393363,-0.0771896,0.0098807,0.0581095,0.0013133
7/31/2002,-0.0666376,-0.0925757,-0.063903,0.0158375,0.0052869,0.0014838
8/31/2002,0.0096441,0.000103,0.0092235,0.0274281,0.0164114,0.0014097
9/30/2002,-0.1005231,-0.103918,-0.1136172,0.0268232,0.0074346,0.0014476
10/31/2002,0.1069802,0.047045,0.064214,-0.0086833,-0.0020791,0.001393
11/30/2002,0.0614249,0.0477874,0.0500299,-0.0029692,0.0056615,0.0013475
12/31/2002,-0.0819198,-0.0288019,-0.0298339,0.03338,0.0578029,0.0010491
1/31/2003,-0.0251995,-0.033016,0.0151779,-0.0031028,0.0204105,0.0008914
2/28/2003,-0.0015866,-0.014789,-0.0325816,0.0228973,0.0127698,0.0008616
3/31/2003,0.0221308,-0.0145282,-0.0372889,-0.0008321,0.0056677,0.0010419
4/30/2003,0.0722719,0.095795,0.0779268,0.0116519,0.0168511,0.0009215
5/31/2003,0.039202,0.0661218,0.0737324,0.0354792,0.0498994,0.000933
6/30/2003,0.0171197,0.0256622,0.0645509,-0.004154,-0.0172142,0.0011113
7/31/2003,0.0265142,0.0229383,0.0556129,-0.0527522,-0.0264779,0.0006606
8/31/2003,0.0167506,0.0284786,0.0687384,0.0070678,-0.0101672,0.0007051
9/30/2003,-0.0145165,0.0344482,0.0129065,0.038178,0.0648556,0.0008885
10/31/2003,0.0536735,0.0630633,0.0689747,-0.014832,-0.0021507,0.0007109
11/30/2003,0.0061872,0.0199188,0.0026085,0.0021677,0.0213515,0.0007741
12/31/2003,0.0418184,0.0725743,0.074662,0.0118364,0.0494893,0.0008022
1/31/2004,0.0158844,0.0173908,0.041298,0.0101219,0.000233,0.0007132
2/29/2004,0.0033589,0.0240706,0.0532417,0.0133144,0.0017782,0.0006388
3/31/2004,-0.0191549,0.0109839,0.0101202,0.0116401,0.0130011,0.0007899
4/30/2004,-0.0105636,-0.0280775,-0.0739912,-0.0363876,-0.0442877,0.0008411
5/31/2004,0.0201588,0.0032651,-0.0367443,-0.0063617,0.0115822,0.0007176
6/30/2004,0.0136577,0.0262323,0.008537,0.0086159,0.0005996,0.0006919
7/31/2004,-0.0523648,-0.0316028,-0.0214791,0.0129404,-0.0069937,0.0009861
8/31/2004,-0.0063506,0.0041016,0.0441157,0.0230436,0.0239841,0.0010558
9/30/2004,0.0068624,0.0294971,0.0588975,0.0034776,0.0182936,0.0011422
10/31/2004,0.0122233,0.0353653,0.0265662,0.0109035,0.0351308,0.0013126
11/30/2004,0.0313842,0.0669617,0.0803943,-0.0111822,0.0486954,0.0013256
12/31/2004,0.0352363,0.0431449,0.0524765,0.0117761,0.0191794,0.0016847
1/31/2005,-0.0291398,-0.0160869,-0.001676,0.0070804,-0.0205974,0.001695
2/28/2005,0.0017353,0.0438822,0.0818547,-0.00893,0.0053722,0.0016353
3/31/2005,-0.0152571,-0.0214874,-0.0630439,-0.0074498,-0.0155555,0.0021679
4/30/2005,-0.0157185,-0.0251138,-0.0282614,0.0163024,0.0129258,0.0022128
