,US Equities,Developed ExUS Equity,EM Equity,US Bond,ExUS Bond,Cash,
31/01/1973,-1.49%,1.73%,1.73%,0.50%,-0.85%,0.46%,
28/02/1973,-3.52%,8.27%,8.27%,-2.91%,-0.13%,0.47%,
31/03/1973,0.08%,0.63%,0.63%,1.93%,-0.14%,0.53%,
30/04/1973,-3.83%,-5.60%,-5.60%,3.18%,0.90%,0.53%,
31/05/1973,-1.63%,2.44%,2.44%,1.97%,0.12%,0.54%,
30/06/1973,-0.40%,2.48%,2.48%,0.71%,0.14%,0.58%,
31/07/1973,4.07%,-1.23%,-1.23%,-0.96%,-2.24%,0.65%,
31/08/1973,-3.41%,-5.07%,-5.07%,-0.15%,1.59%,0.69%,
30/09/1973,4.27%,-0.66%,-0.66%,0.51%,2.40%,0.68%,
31/10/1973,0.17%,2.16%,2.16%,-2.27%,0.92%,0.59%,
30/11/1973,-11.09%,-14.38%,-14.38%,-1.16%,0.46%,0.64%,
31/12/1973,1.98%,-4.08%,-4.08%,1.65%,-0.06%,0.61%,
31/01/1974,-0.72%,0.68%,0.68%,-0.23%,0.77%,0.62%,
28/02/1974,-0.07%,3.33%,3.33%,-1.14%,0.32%,0.56%,
31/03/1974,-2.05%,-2.58%,-2.58%,-0.90%,-1.85%,0.63%,
30/04/1974,-3.59%,2.70%,2.70%,1.90%,-0.78%,0.67%,
31/05/1974,-3.02%,-3.89%,-3.89%,1.74%,0.84%,0.67%,
30/06/1974,-1.13%,-4.51%,-4.51%,1.73%,-0.14%,0.65%,
31/07/1974,-7.42%,-5.05%,-5.05%,2.38%,0.07%,0.64%,
31/08/1974,-8.64%,-10.28%,-10.28%,-0.32%,-0.49%,0.73%,
30/09/1974,-11.52%,-7.23%,-7.23%,1.13%,2.60%,0.68%,
31/10/1974,16.81%,0.92%,0.92%,-3.24%,1.62%,0.62%,
30/11/1974,-4.88%,3.21%,3.21%,-1.44%,2.35%,0.61%,
31/12/1974,-1.56%,-0.99%,-0.99%,2.63%,1.17%,0.57%,
