Name,SecId,Enhanced Index,Index Fund
JNL/Mellon Emerging Markets Index I,F00000MNCZ,No,Yes
JNL/Mellon Emerging Markets Index A,F00000MU0Y,No,Yes
Voya Emerging Markets Index Port I,F00000N2IQ,No,Yes
Voya Emerging Markets Index Port S,F00000N2IR,No,Yes
Voya Emerging Markets Index P2,F00000YJEM,No,Yes
SEI Extended Market Index A (SIIT),F00000NC05,No,Yes
Fidelity? Inflation-Prot Bd Index,F00000NZ8Q,No,Yes
Guggenheim Directional Allocation A,F00000O5FV,No,Yes
Guggenheim Directional Allocation C,F00000O5FY,No,Yes
Guggenheim Directional Allocation I,F00000O5G0,No,Yes
Guggenheim Directional Allocation P,F00000O5G3,No,Yes
Victory US 500 Enh Vol Wtd Idx A,F00000OBFW,No,Yes
Victory US 500 Enh Vol Wtd Idx C,F00000OBFY,No,Yes
Victory US 500 Enh Vol Wtd Idx I,F00000OBFZ,No,Yes
Empower Real Estate Index Inv,F00000OPRM,No,Yes
Empower Real Estate Index Instl,F00000VEI8,No,Yes
JNL/Mellon Utilities Sector A,F00000PC3K,No,Yes
JNL/Mellon Utilities Sector I,F00000PC3L,No,Yes
Fidelity? Series Large Cap Value Index,F00000Q87Q,No,Yes
Vanguard Shrt-Term Infl-Prot Sec Idx Adm,F00000ONBX,No,Yes
Vanguard Shrt-Term Infl-Prot Sec Idx Ins,F00000ONBZ,No,Yes
Vanguard Shrt-Term Infl-Prot Sec Idx Inv,F00000ONC0,No,Yes
SEI S&P 500 Index A (SIIT),F00000QHVC,No,Yes
State Street Glb All Cap Eq ex-US Idx A,F00000QT29,No,Yes
State Street Glb All Cap Eq ex-US Idx K,F00000QT2A,No,Yes
State Street Glb All Cap Eq ex-US Idx I,F00000QT2B,No,Yes
Probabilities I,F00000Q2B0,No,Yes
Probabilities C,F00000Q2B2,No,Yes
Probabilities A,F00000RT6W,No,Yes
Essential 40 Stock I,F00000SZK2,No,Yes
AXS Thomson Reuters Vntr Cptl RetTrckr A,F00000T6BP,No,Yes
AXS Thomson Reuters Vntr Cptl RetTrckr I,F00000T6BQ,No,Yes
AXS Thomson Reuters Vntr Cptl RetTrckr C,F00000VV1I,No,Yes
State Street Equity 500 Index II,F00000T8Y5,No,Yes
State Street Aggregate Bond Idx,F00000T8Y7,No,Yes
State Street Glb All Cap Eq ex-US Idx,F00000T8Y8,No,Yes
Schwab Fundamental Global Real Estt Idx,F00000TP34,No,Yes
Rydex Monthly Rbl NASDAQ-100? 2x Strt H,F00000UE3L,No,Yes
Rydex Monthly Rbl NASDAQ-100? 2x Strt A,F00000UE3M,No,Yes
Rydex Monthly Rbl NASDAQ-100? 2x Strt C,F00000UE3N,No,Yes
Index Funds S&P 500? Equal Weight NoLoad,F00000TWEM,No,Yes
Allspring Index,F00000V2IM,No,Yes
GuideStone Funds Intl Eq Idx Instl,F00000VHHD,No,Yes
GuideStone Funds Intl Eq Idx Investor,F00001DKLE,No,Yes
Vanguard Tax-Exempt Bond Index Admiral,F00000V75P,No,Yes
Vanguard Emerging Mkts Govt Bd Idx Adm,F00000NBHH,No,Yes
Vanguard Emerging Mkts Govt Bd Idx Instl,F00000NBHJ,No,Yes
Vanguard Total Intl Bd Idx Admiral?,F00000NBIL,No,Yes
Vanguard Total Intl Bd Idx Institutional,F00000NBIN,No,Yes
Vanguard Total Intl Bd Idx Investor,F00000NBIO,No,Yes
Vanguard Total Intl Bd Idx Instl Sel,F00000WTNW,No,Yes
Donoghue Forlines Dividend I,F00000Q662,No,Yes
Donoghue Forlines Dividend A,F00000Q663,No,Yes
Donoghue Forlines Dividend C,F00000UEUZ,No,Yes
Calvert US Large Cap Growth Rspnb Idx A,F00000VCX3,No,Yes
Calvert US Large Cap Growth Rspnb Idx I,F00000VCX5,No,Yes
Calvert US Large Cap Growth Rspnb Idx R6,F00001DERA,No,Yes
Calvert US Large Cap Value Rspnb Idx A,F00000VCX6,No,Yes
Calvert US Large Cap Value Rspnb Idx I,F00000VCX9,No,Yes
Calvert US Large Cap Value Rspnb Idx R6,F00001DERB,No,Yes
State Street Hedged Intl Dev Eq Idx K,F00000VDNI,No,Yes
iShares Russell Mid-Cap Index K,F00000VEJF,No,Yes
iShares Russell Mid-Cap Index Instl,F00000VEJG,No,Yes
iShares Russell Mid-Cap Index Inv A,F00000WCRN,No,Yes
Fidelity? SAI Intl Low Volatil Idx,F00000VEFA,No,Yes
Fidelity? SAI US LowVolatility Idx,F00000VEFB,No,Yes
TIAA-CREF Short-Term Bond Index Instl,F00000VTQM,No,Yes
TIAA-CREF Short-Term Bond Index Premier,F00000VTQN,No,Yes
TIAA-CREF Short-Term Bond Index Retail,F00000VTQO,No,Yes
TIAA-CREF Short-Term Bond Index Retire,F00000VTQP,No,Yes
TIAA-CREF Short-Term Bond Index Advisor,F00000W9WW,No,Yes
TIAA-CREF Short-Term Bond Index W,F000010I3N,No,Yes
State Street Emerging Markets Eq Idx K,F00000VYS6,No,Yes
State Street Small/Mid Cap Equity Idx A,F00000VV19,No,Yes
State Street Small/Mid Cap Equity Idx I,F00000VV1A,No,Yes
State Street Small/Mid Cap Equity Idx K,F00000VV1B,No,Yes
State Street Small/Mid Cap Equity Index,F00000VV1D,No,Yes
AXS Thomson Reuters Priv Eq Ret Trckr A,F00000VV1E,No,Yes
AXS Thomson Reuters Priv Eq Ret Trckr C,F00000VV1F,No,Yes
AXS Thomson Reuters Priv Eq Ret Trckr I,F00000VV1G,No,Yes
iShares Russell Small/Mid-Cap Idx Inv A,F00000VW8T,No,Yes
iShares Russell Small/Mid-Cap Idx Instl,F00000VW8U,No,Yes
iShares Russell Small/Mid-Cap Idx K,F00000VW8V,No,Yes
iShares Total US Stock Market Idx K,F00000VW8W,No,Yes
iShares Total US Stock Market Idx Inv A,F00000VW8X,No,Yes
iShares Total US Stock Market Idx Instl,F00000VW8Y,No,Yes
iShares Developed Real Estate Idx Inv A,F00000VW8Z,No,Yes
iShares Developed Real Estate Idx Instl,F00000VW90,No,Yes
